State full,County,City
Stockholms län,Haninge,Norra Muskö
Stockholms län,Haninge,Väländan
Stockholms län,Haninge,Västerhaninge
Stockholms län,Haninge,Årsta Havsbad
Stockholms län,Upplands-Bro,Bro
Stockholms län,Upplands-Bro,Brunna
Stockholms län,Upplands-Bro,Håbo-Tibble kyrkby
Stockholms län,Upplands-Bro,Kungsängen
Stockholms län,Upplands-Bro,Kvista
Stockholms län,Upplands-Bro,Rättarboda
Stockholms län,Nykvarn,Finkarby
Stockholms län,Nykvarn,Nygårds hagar
Stockholms län,Nykvarn,Nykvarn
Stockholms län,Nykvarn,Stensättra tomtområde
Stockholms län,Täby,Arninge
Stockholms län,Danderyd,Tranholmen
Stockholms län,Stockholm,Stockholm
Stockholms län,Södertälje,Ekeby
Stockholms län,Södertälje,Hölö
Stockholms län,Södertälje,Järna
Stockholms län,Södertälje,Kallfors
Stockholms län,Södertälje,Mölnbo
Stockholms län,Södertälje,Nibble
Stockholms län,Södertälje,Pershagen
Stockholms län,Södertälje,Sandviken
Stockholms län,Södertälje,Södertälje
Stockholms län,Södertälje,Tuna
Stockholms län,Södertälje,Vattubrinken
Stockholms län,Nacka,Fisksätra
Stockholms län,Nacka,Hästhagen
Stockholms län,Nacka,Kil
Stockholms län,Nacka,Kummelnäs
Stockholms län,Nacka,Saltsjöbaden
Stockholms län,Nacka,Älgö
Stockholms län,Lidingö,Lidingö
Stockholms län,Lidingö,Sticklinge udde
Stockholms län,Lidingö,Storholmen
Stockholms län,Vaxholm,Kullö
Stockholms län,Vaxholm,Resarö
Stockholms län,Vaxholm,Rindö
Stockholms län,Vaxholm,Skarpö
Stockholms län,Vaxholm,Tynningö
Stockholms län,Vaxholm,Vaxholm
Stockholms län,Norrtälje,Bergshamra
Stockholms län,Norrtälje,Blidö
Stockholms län,Norrtälje,Edsbro
Stockholms län,Norrtälje,Finsta
Stockholms län,Norrtälje,Grisslehamn
Stockholms län,Norrtälje,Hallstavik
Stockholms län,Norrtälje,Herräng
Stockholms län,Norrtälje,Hysingsvik
Stockholms län,Norrtälje,Malsta
Stockholms län,Norrtälje,Norrtälje
Stockholms län,Norrtälje,Nysättra
Stockholms län,Norrtälje,Oxhalsö
Stockholms län,Norrtälje,Riala
Stockholms län,Norrtälje,Rimbo
Stockholms län,Norrtälje,Rånäs
Stockholms län,Norrtälje,Skebobruk
Stockholms län,Norrtälje,Spillersboda
Stockholms län,Norrtälje,Svanberga
Stockholms län,Norrtälje,Söderby-Karl
Stockholms län,Norrtälje,Södersvik
Stockholms län,Norrtälje,Älmsta
Stockholms län,Sigtuna,Granby
Stockholms län,Sigtuna,Märsta
Stockholms län,Sigtuna,Rosersberg
Stockholms län,Sigtuna,Sigtuna
Stockholms län,Sigtuna,Steningehöjden
Stockholms län,Sigtuna,Venngarn
Stockholms län,Nynäshamn,Grödby
Stockholms län,Nynäshamn,Landfjärden
Stockholms län,Nynäshamn,Nynäshamn
Stockholms län,Nynäshamn,Segersäng
Stockholms län,Nynäshamn,Sorunda
Stockholms län,Nynäshamn,Stora Vika
Stockholms län,Nynäshamn,Ösmo
Uppsala län,Håbo,Bålsta
Uppsala län,Håbo,Kivinge
Uppsala län,Håbo,Krägga
Uppsala län,Håbo,Råby
Uppsala län,Håbo,Slottsskogen
Uppsala län,Håbo,Söderskogen
Uppsala län,Håbo,Vibyäng
Uppsala län,Älvkarleby,Gårdskär
Uppsala län,Älvkarleby,Marma
Uppsala län,Älvkarleby,Skutskär
Uppsala län,Älvkarleby,Älvkarleby
Uppsala län,Älvkarleby,Älvkarleö
Uppsala län,Knivsta,Alsike
Uppsala län,Knivsta,Edeby
Uppsala län,Knivsta,Knivsta
Uppsala län,Heby,Harbo
Uppsala län,Heby,Heby
Uppsala län,Heby,Morgongåva
Uppsala län,Heby,Tärnsjö
Uppsala län,Heby,Vittinge
Uppsala län,Heby,Östervåla
Uppsala län,Tierp,Karlholmsbruk
Uppsala län,Tierp,Mehedeby
Uppsala län,Tierp,Månkarbo
Uppsala län,Tierp,Skärplinge
Uppsala län,Tierp,Söderfors
Uppsala län,Tierp,Tierp
Uppsala län,Tierp,Tobo
Uppsala län,Tierp,Upplanda
Uppsala län,Tierp,Örbyhus
Uppsala län,Uppsala,Almunge
Uppsala län,Uppsala,Björklinge
Uppsala län,Uppsala,Blackstalund
Uppsala län,Uppsala,Bälinge
Uppsala län,Uppsala,Bärby
Uppsala län,Uppsala,Danmark
Uppsala län,Uppsala,Funbo
Uppsala län,Uppsala,Gunsta
Uppsala län,Uppsala,Gåvsta
Uppsala län,Uppsala,Håga
Uppsala län,Uppsala,Jälla
Uppsala län,Uppsala,Järlåsa
Uppsala län,Uppsala,Knutby
Uppsala län,Uppsala,Läby
Uppsala län,Uppsala,Länna
Uppsala län,Uppsala,Lövstalöt
Uppsala län,Uppsala,Ramstalund
Uppsala län,Uppsala,Skyttorp
Uppsala län,Uppsala,Skölsta
Uppsala län,Uppsala,Stenbron
Uppsala län,Uppsala,Storvreta
Uppsala län,Uppsala,Sävja
Uppsala län,Uppsala,Ultuna
Uppsala län,Uppsala,Uppsala
Uppsala län,Uppsala,Vattholma
Uppsala län,Uppsala,Vrångelsta
Uppsala län,Uppsala,Vänge
Uppsala län,Enköping,Bredsand
Uppsala län,Enköping,Enköping
Uppsala län,Enköping,Fjärdhundra
Uppsala län,Enköping,Grillby
Uppsala län,Enköping,Haga
Uppsala län,Enköping,Hummelsta
Uppsala län,Enköping,Lillkyrka
Uppsala län,Enköping,Märsön
Uppsala län,Enköping,Örsundsbro
Uppsala län,Enköping,Örsundsbro norra
Uppsala län,Östhammar,Alunda
Uppsala län,Östhammar,Dannemora
Uppsala län,Östhammar,Gimo
Uppsala län,Östhammar,Hargshamn
Uppsala län,Östhammar,Skoby
Uppsala län,Östhammar,Öregrund
Uppsala län,Östhammar,Österbybruk
Uppsala län,Östhammar,Östhammar
Södermanlands län,Vingåker,Baggetorp
Södermanlands län,Vingåker,Högsjö
Södermanlands län,Vingåker,Läppe
Södermanlands län,Vingåker,Marmorbyn
Södermanlands län,Vingåker,Vingåker
Södermanlands län,Gnesta,Björnlunda
Södermanlands län,Gnesta,Gnesta
Södermanlands län,Gnesta,Hållsta
Södermanlands län,Gnesta,Stjärnhov
Södermanlands län,Nyköping,Arnö
Södermanlands län,Nyköping,Bergshammar
Södermanlands län,Nyköping,Buskhyttan
Södermanlands län,Nyköping,Enstaberga
Södermanlands län,Nyköping,Jönåker
Södermanlands län,Nyköping,Kvegerö
Södermanlands län,Nyköping,Nyköping
Södermanlands län,Nyköping,Nävekvarn
Södermanlands län,Nyköping,Runtuna
Södermanlands län,Nyköping,Sjösa
Södermanlands län,Nyköping,Stavsjö
Södermanlands län,Nyköping,Stigtomta
Södermanlands län,Nyköping,Svalsta
Södermanlands län,Nyköping,Tystberga
Södermanlands län,Nyköping,Vrena
Södermanlands län,Nyköping,Ålberga
Södermanlands län,Nyköping,Örstig
Södermanlands län,Oxelösund,Inskogen
Södermanlands län,Oxelösund,Oxelösund
Södermanlands län,Flen,Bettna
Södermanlands län,Flen,Flen
Södermanlands län,Flen,Hälleforsnäs
Södermanlands län,Flen,Malmköping
Södermanlands län,Flen,Mellösa
Södermanlands län,Flen,Orrhammar
Södermanlands län,Flen,Skebokvarn
Södermanlands län,Flen,Sparreholm
Södermanlands län,Katrineholm,Bie
Södermanlands län,Katrineholm,Björkvik
Södermanlands län,Katrineholm,Forssjö
Södermanlands län,Katrineholm,Katrineholm
Södermanlands län,Katrineholm,Sköldinge
Södermanlands län,Katrineholm,Strångsjö
Södermanlands län,Katrineholm,Valla
Södermanlands län,Katrineholm,Äsköping
Södermanlands län,Eskilstuna,Alberga
Södermanlands län,Eskilstuna,Bälgviken
Södermanlands län,Eskilstuna,Eskilstuna
Södermanlands län,Eskilstuna,Hållsta
Södermanlands län,Eskilstuna,Hällberga
Södermanlands län,Eskilstuna,Hällbybrunn
Södermanlands län,Eskilstuna,Kjulaås
Södermanlands län,Eskilstuna,Skiftinge
Södermanlands län,Eskilstuna,Sundbyholm
Södermanlands län,Eskilstuna,Torshälla
Södermanlands län,Eskilstuna,Tumbo
Södermanlands län,Eskilstuna,Udden
Södermanlands län,Eskilstuna,Ärla
Södermanlands län,Strängnäs,Abborrberget
Södermanlands län,Strängnäs,Härad
Södermanlands län,Strängnäs,Kalkudden
Södermanlands län,Strängnäs,Mariefred
Södermanlands län,Strängnäs,Marielund
Södermanlands län,Strängnäs,Merlänna
Södermanlands län,Strängnäs,Stallarholmen
Södermanlands län,Strängnäs,Strängnäs
Södermanlands län,Strängnäs,Åkers styckebruk
Södermanlands län,Trosa,Sund
Södermanlands län,Trosa,Trosa
Södermanlands län,Trosa,Vagnhärad
Södermanlands län,Trosa,Västerljung
Södermanlands län,Trosa,Öbolandet
Östergötlands län,Ödeshög,Hästholmen
Östergötlands län,Ödeshög,Ödeshög
Östergötlands län,Ydre,Hestra
Östergötlands län,Ydre,Rydsnäs
Östergötlands län,Ydre,Österbymo
Östergötlands län,Kinda,Horn
Östergötlands län,Kinda,Kisa
Östergötlands län,Kinda,Rimforsa
Östergötlands län,Boxholm,Boxholm
Östergötlands län,Boxholm,Strålsnäs
Östergötlands län,Åtvidaberg,Berg
Östergötlands län,Åtvidaberg,Björsäter
Östergötlands län,Åtvidaberg,Falerum
Östergötlands län,Åtvidaberg,Grebo
Östergötlands län,Åtvidaberg,Åtvidaberg
Östergötlands län,Finspång,Borggård
Östergötlands län,Finspång,Butbro
Östergötlands län,Finspång,Falla
Östergötlands län,Finspång,Finspång
Östergötlands län,Finspång,Grytgöl
Östergötlands län,Finspång,Hällestad
Östergötlands län,Finspång,Igelfors
Östergötlands län,Finspång,Ljusfallshammar
Östergötlands län,Finspång,Lotorp
Östergötlands län,Finspång,Rejmyre
Östergötlands län,Finspång,Sonstorp
Östergötlands län,Valdemarsvik,Gryt
Östergötlands län,Valdemarsvik,Grännäs
Östergötlands län,Valdemarsvik,Gusum
Östergötlands län,Valdemarsvik,Ringarum
Östergötlands län,Valdemarsvik,Valdemarsvik
Östergötlands län,Linköping,Askeby
Östergötlands län,Linköping,Bankekind
Östergötlands län,Linköping,Bergs slussar
Östergötlands län,Linköping,Bestorp
Östergötlands län,Linköping,Brokind
Östergötlands län,Linköping,Ekängen
Östergötlands län,Linköping,Gistad
Östergötlands län,Linköping,Kränge
Östergötlands län,Linköping,Linghem
Östergötlands län,Linköping,Linköping
Östergötlands län,Linköping,Ljungsbro
Östergötlands län,Linköping,Malmslätt
Östergötlands län,Linköping,Nykil
Östergötlands län,Linköping,Rappestad
Östergötlands län,Linköping,Sjögestad
Östergötlands län,Linköping,Skeda udde
Östergötlands län,Linköping,Slaka
Östergötlands län,Linköping,Sturefors
Östergötlands län,Linköping,Tallboda
Östergötlands län,Linköping,Vikingstad
Östergötlands län,Linköping,Västerlösa
Östergötlands län,Norrköping,Djurön
Östergötlands län,Norrköping,Eksund
Östergötlands län,Norrköping,Graversfors
Östergötlands län,Norrköping,Herstadberg
Östergötlands län,Norrköping,Kimstad
Östergötlands län,Norrköping,Krokek
Östergötlands län,Norrköping,Lindö
Östergötlands län,Norrköping,Ljunga
Östergötlands län,Norrköping,Norrköping
Östergötlands län,Norrköping,Norsholm
Östergötlands län,Norrköping,Simonstorp
Östergötlands län,Norrköping,Skärblacka
Östergötlands län,Norrköping,Svärtinge
Östergötlands län,Norrköping,Vånga
Östergötlands län,Norrköping,Åby
Östergötlands län,Norrköping,Öbonäs
Östergötlands län,Norrköping,Östra Husby
Östergötlands län,Söderköping,Luddingsbo
Östergötlands län,Söderköping,Mogata
Östergötlands län,Söderköping,Snöveltorp
Östergötlands län,Söderköping,Söderköping
Östergötlands län,Söderköping,Västra Husby
Östergötlands län,Söderköping,Östra Ryd
Östergötlands län,Motala,Borensberg
Östergötlands län,Motala,Fornåsa
Östergötlands län,Motala,Fågelsta
Östergötlands län,Motala,Klockrike
Östergötlands län,Motala,Motala
Östergötlands län,Motala,Nykyrka
Östergötlands län,Motala,Tjällmo
Östergötlands län,Motala,Österstad
Östergötlands län,Vadstena,Vadstena
Östergötlands län,Mjölby,Hogstad
Östergötlands län,Mjölby,Mantorp
Östergötlands län,Mjölby,Mjölby
Östergötlands län,Mjölby,Skänninge
Östergötlands län,Mjölby,Spångsholm
Östergötlands län,Mjölby,Sya
Östergötlands län,Mjölby,Väderstad
Jönköpings län,Aneby,Aneby
Jönköpings län,Aneby,Frinnaryd
Jönköpings län,Aneby,Sundhultsbrunn
Jönköpings län,Gnosjö,Gnosjö
Jönköpings län,Gnosjö,Hillerstorp
Jönköpings län,Gnosjö,Kulltorp
Jönköpings län,Gnosjö,Nissafors
Jönköpings län,Gnosjö,Törestorp
Jönköpings län,Mullsjö,Mullsjö
Jönköpings län,Mullsjö,Sandhem
Jönköpings län,Habo,Fagerhult
Jönköpings län,Habo,Furusjö
Jönköpings län,Habo,Habo
Jönköpings län,Habo,Rödån
Jönköpings län,Gislaved,Anderstorp
Jönköpings län,Gislaved,Broaryd
Jönköpings län,Gislaved,Burseryd
Jönköpings län,Gislaved,Gislaved
Jönköpings län,Gislaved,Hestra
Jönköpings län,Gislaved,Reftele
Jönköpings län,Gislaved,Skeppshult
Jönköpings län,Gislaved,Smålandsstenar
Jönköpings län,Vaggeryd,Bondstorp
Jönköpings län,Vaggeryd,Hok
Jönköpings län,Vaggeryd,Klevshult
Jönköpings län,Vaggeryd,Skillingaryd
Jönköpings län,Vaggeryd,Vaggeryd
Jönköpings län,Jönköping,Bankeryd
Jönköpings län,Jönköping,Bottnaryd
Jönköpings län,Jönköping,Gränna
Jönköpings län,Jönköping,Jönköping
Jönköpings län,Jönköping,Kaxholmen
Jönköpings län,Jönköping,Kortebo
Jönköpings län,Jönköping,Lekeryd
Jönköpings län,Jönköping,Ryd
Jönköpings län,Jönköping,Skärstad
Jönköpings län,Jönköping,Taberg
Jönköpings län,Jönköping,Tenhult
Jönköpings län,Jönköping,Tunnerstad
Jönköpings län,Jönköping,Öggestorp
Jönköpings län,Jönköping,Ölmstad
Jönköpings län,Jönköping,Örserum
Jönköpings län,Nässjö,Anneberg
Jönköpings län,Nässjö,Bodafors
Jönköpings län,Nässjö,Flisby
Jönköpings län,Nässjö,Forserum
Jönköpings län,Nässjö,Fredriksdal
Jönköpings län,Nässjö,Grimstorp
Jönköpings län,Nässjö,Malmbäck
Jönköpings län,Nässjö,Nässjö
Jönköpings län,Nässjö,Ormaryd
Jönköpings län,Nässjö,Solberga
Jönköpings län,Nässjö,Stensjön
Jönköpings län,Nässjö,Äng
Jönköpings län,Värnamo,Bor
Jönköpings län,Värnamo,Bredaryd
Jönköpings län,Värnamo,Ekenhaga
Jönköpings län,Värnamo,Forsheda
Jönköpings län,Värnamo,Horda
Jönköpings län,Värnamo,Hånger
Jönköpings län,Värnamo,Kärda
Jönköpings län,Värnamo,Lanna
Jönköpings län,Värnamo,Rydaholm
Jönköpings län,Värnamo,Värnamo
Jönköpings län,Värnamo,Åminne
Jönköpings län,Sävsjö,Rörvik
Jönköpings län,Sävsjö,Stockaryd
Jönköpings län,Sävsjö,Sävsjö
Jönköpings län,Sävsjö,Vrigstad
Jönköpings län,Vetlanda,Björköby
Jönköpings län,Vetlanda,Ekenässjön
Jönköpings län,Vetlanda,Holsbybrunn
Jönköpings län,Vetlanda,Korsberga
Jönköpings län,Vetlanda,Kvillsfors
Jönköpings län,Vetlanda,Landsbro
Jönköpings län,Vetlanda,Myresjö
Jönköpings län,Vetlanda,Nye
Jönköpings län,Vetlanda,Pauliström
Jönköpings län,Vetlanda,Sjunnen
Jönköpings län,Vetlanda,Skede
Jönköpings län,Vetlanda,Vetlanda
Jönköpings län,Eksjö,Bruzaholm
Jönköpings län,Eksjö,Eksjö
Jönköpings län,Eksjö,Hjältevad
Jönköpings län,Eksjö,Hult
Jönköpings län,Eksjö,Ingatorp
Jönköpings län,Eksjö,Mariannelund
Jönköpings län,Tranås,Gripenberg
Jönköpings län,Tranås,Norraby
Jönköpings län,Tranås,Sommen
Jönköpings län,Tranås,Tranås
Kronobergs län,Uppvidinge,Alstermo
Kronobergs län,Uppvidinge,Lenhovda
Kronobergs län,Uppvidinge,Norrhult-Klavreström
Kronobergs län,Uppvidinge,Åseda
Kronobergs län,Uppvidinge,Älghult
Kronobergs län,Lessebo,Hovmantorp
Kronobergs län,Lessebo,Kosta
Kronobergs län,Lessebo,Lessebo
Kronobergs län,Lessebo,Skruv
Kronobergs län,Tingsryd,Konga
Kronobergs län,Tingsryd,Linneryd
Kronobergs län,Tingsryd,Ryd
Kronobergs län,Tingsryd,Rävemåla
Kronobergs län,Tingsryd,Tingsryd
Kronobergs län,Tingsryd,Urshult
Kronobergs län,Tingsryd,Väckelsång
Kronobergs län,Alvesta,Alvesta
Kronobergs län,Alvesta,Grimslöv
Kronobergs län,Alvesta,Hjortsberga
Kronobergs län,Alvesta,Moheda
Kronobergs län,Alvesta,Torpsbruk
Kronobergs län,Alvesta,Vislanda
Kronobergs län,Älmhult,Delary
Kronobergs län,Älmhult,Diö
Kronobergs län,Älmhult,Eneryda
Kronobergs län,Älmhult,Liatorp
Kronobergs län,Älmhult,Älmhult
Kronobergs län,Markaryd,Markaryd
Kronobergs län,Markaryd,Strömsnäsbruk
Kronobergs län,Markaryd,Traryd
Kronobergs län,Växjö,Björnö
Kronobergs län,Växjö,Braås
Kronobergs län,Växjö,Furuby
Kronobergs län,Växjö,Gemla
Kronobergs län,Växjö,Ingelstad
Kronobergs län,Växjö,Lammhult
Kronobergs län,Växjö,Nöbbele
Kronobergs län,Växjö,Rottne
Kronobergs län,Växjö,Tävelsås
Kronobergs län,Växjö,Växjö
Kronobergs län,Växjö,Åby
Kronobergs län,Växjö,Åryd
Kronobergs län,Växjö,Öja
Kronobergs län,Ljungby,Agunnaryd
Kronobergs län,Ljungby,Angelstad
Kronobergs län,Ljungby,Kånna
Kronobergs län,Ljungby,Lagan
Kronobergs län,Ljungby,Lidhult
Kronobergs län,Ljungby,Ljungby
Kronobergs län,Ljungby,Ryssby
Kronobergs län,Ljungby,Vittaryd
Kalmar län,Högsby,Berga
Kalmar län,Högsby,Fagerhult
Kalmar län,Högsby,Fågelfors
Kalmar län,Högsby,Högsby
Kalmar län,Högsby,Ruda
Kalmar län,Torsås,Bergkvara
Kalmar län,Torsås,Söderåkra
Kalmar län,Torsås,Torsås
Kalmar län,Mörbylånga,Algutsrum
Kalmar län,Mörbylånga,Degerhamn
Kalmar län,Mörbylånga,Färjestaden
Kalmar län,Mörbylånga,Gårdby
Kalmar län,Mörbylånga,Kastlösa
Kalmar län,Mörbylånga,Mörbylånga
Kalmar län,Mörbylånga,Saxnäs
Kalmar län,Mörbylånga,Skogsby
Kalmar län,Mörbylånga,Vickleby
Kalmar län,Hultsfred,Hultsfred
Kalmar län,Hultsfred,Järnforsen
Kalmar län,Hultsfred,Målilla
Kalmar län,Hultsfred,Mörlunda
Kalmar län,Hultsfred,Rosenfors
Kalmar län,Hultsfred,Silverdalen
Kalmar län,Hultsfred,Vena
Kalmar län,Hultsfred,Virserum
Kalmar län,Mönsterås,Blomstermåla
Kalmar län,Mönsterås,Fliseryd
Kalmar län,Mönsterås,Mönsterås
Kalmar län,Mönsterås,Oknö
Kalmar län,Mönsterås,Timmernabben
Kalmar län,Emmaboda,Emmaboda
Kalmar län,Emmaboda,Eriksmåla
Kalmar län,Emmaboda,Johansfors
Kalmar län,Emmaboda,Långasjö
Kalmar län,Emmaboda,Vissefjärda
Kalmar län,Kalmar,Drag
Kalmar län,Kalmar,Dunö
Kalmar län,Kalmar,Hagby
Kalmar län,Kalmar,Halltorp
Kalmar län,Kalmar,Kalmar
Kalmar län,Kalmar,Lindsdal
Kalmar län,Kalmar,Ljungbyholm
Kalmar län,Kalmar,Läckeby
Kalmar län,Kalmar,Påryd
Kalmar län,Kalmar,Rinkabyholm
Kalmar län,Kalmar,Rockneby
Kalmar län,Kalmar,Smedby
Kalmar län,Kalmar,Trekanten
Kalmar län,Kalmar,Tvärskog
Kalmar län,Kalmar,Vassmolösa
Kalmar län,Kalmar,Åmunnen
Kalmar län,Nybro,Alsterbro
Kalmar län,Nybro,Bäckebo
Kalmar län,Nybro,Flerohopp
Kalmar län,Nybro,Flygsfors
Kalmar län,Nybro,Kristvallabrunn
Kalmar län,Nybro,Målerås
Kalmar län,Nybro,Nybro
Kalmar län,Nybro,Orrefors
Kalmar län,Nybro,Örsjö
Kalmar län,Oskarshamn,Bockara
Kalmar län,Oskarshamn,Emsfors
Kalmar län,Oskarshamn,Figeholm
Kalmar län,Oskarshamn,Fårbo
Kalmar län,Oskarshamn,Kristdala
Kalmar län,Oskarshamn,Oskarshamn
Kalmar län,Oskarshamn,Påskallavik
Kalmar län,Oskarshamn,Stångehamn
Kalmar län,Västervik,Ankarsrum
Kalmar län,Västervik,Edsbruk
Kalmar län,Västervik,Gamleby
Kalmar län,Västervik,Gunnebo
Kalmar län,Västervik,Hjorted
Kalmar län,Västervik,Loftahammar
Kalmar län,Västervik,Piperskärr
Kalmar län,Västervik,Totebo
Kalmar län,Västervik,Västervik
Kalmar län,Västervik,Överum
Kalmar län,Vimmerby,Frödinge
Kalmar län,Vimmerby,Gullringen
Kalmar län,Vimmerby,Storebro
Kalmar län,Vimmerby,Södra Vi
Kalmar län,Vimmerby,Tuna
Kalmar län,Vimmerby,Vimmerby
Kalmar län,Borgholm,Borgholm
Kalmar län,Borgholm,Löttorp
Kalmar län,Borgholm,Rälla
Gotlands län,Gotland,Burgsvik
Gotlands län,Gotland,Fårösund
Gotlands län,Gotland,Havdhem
Gotlands län,Gotland,Hemse
Gotlands län,Gotland,Klintehamn
Gotlands län,Gotland,Lärbro
Gotlands län,Gotland,Norra Visby
Gotlands län,Gotland,Romakloster
Gotlands län,Gotland,Slite
Gotlands län,Gotland,Slite norra
Gotlands län,Gotland,Stånga
Gotlands län,Gotland,Tingstäde
Gotlands län,Gotland,Tofta
Gotlands län,Gotland,Vibble
Gotlands län,Gotland,Visby
Gotlands län,Gotland,Väskinde
Gotlands län,Gotland,Västerhejde
Blekinge län,Olofström,Gränum
Blekinge län,Olofström,Jämshög
Blekinge län,Olofström,Kyrkhult
Blekinge län,Olofström,Olofström
Blekinge län,Olofström,Vilshult
Blekinge län,Karlskrona,Drottningskär
Blekinge län,Karlskrona,Fridlevstad
Blekinge län,Karlskrona,Fågelmara
Blekinge län,Karlskrona,Gängletorp
Blekinge län,Karlskrona,Hasslö
Blekinge län,Karlskrona,Holmsjö
Blekinge län,Karlskrona,Jämjö
Blekinge län,Karlskrona,Karlskrona
Blekinge län,Karlskrona,Kättilsmåla
Blekinge län,Karlskrona,Nättraby
Blekinge län,Karlskrona,Nävragöl
Blekinge län,Karlskrona,Ramdala
Blekinge län,Karlskrona,Rödeby
Blekinge län,Karlskrona,Sjuhalla
Blekinge län,Karlskrona,Spjutsbygd
Blekinge län,Karlskrona,Sturkö
Blekinge län,Karlskrona,Torhamn
Blekinge län,Karlskrona,Trummenäs
Blekinge län,Karlskrona,Tving
Blekinge län,Ronneby,Backaryd
Blekinge län,Ronneby,Bräkne-Hoby
Blekinge län,Ronneby,Eringsboda
Blekinge län,Ronneby,Hallabro
Blekinge län,Ronneby,Johannishus
Blekinge län,Ronneby,Kallinge
Blekinge län,Ronneby,Listerby
Blekinge län,Ronneby,Ronneby
Blekinge län,Ronneby,Ronnebyhamn
Blekinge län,Karlshamn,Hällaryd
Blekinge län,Karlshamn,Karlshamn
Blekinge län,Karlshamn,Mörrum
Blekinge län,Karlshamn,Svängsta
Blekinge län,Karlshamn,Åryd
Blekinge län,Sölvesborg,Djupekås
Blekinge län,Sölvesborg,Hällevik
Blekinge län,Sölvesborg,Hörvik
Blekinge län,Sölvesborg,Ljungaviken
Blekinge län,Sölvesborg,Lörby
Blekinge län,Sölvesborg,Mjällby
Blekinge län,Sölvesborg,Norje
Blekinge län,Sölvesborg,Pukavik
Blekinge län,Sölvesborg,Sölvesborg
Blekinge län,Sölvesborg,Ysane
Skåne län,Svalöv,Billeberga
Skåne län,Svalöv,Kågeröd
Skåne län,Svalöv,Röstånga
Skåne län,Svalöv,Svalöv
Skåne län,Svalöv,Teckomatorp
Skåne län,Svalöv,Tågarp
Skåne län,Staffanstorp,Bergströmshusen
Skåne län,Staffanstorp,Hjärup
Skåne län,Staffanstorp,Kyrkheddinge
Skåne län,Staffanstorp,Nordanå
Skåne län,Staffanstorp,Staffanstorp
Skåne län,Burlöv,Burlövs egnahem
Skåne län,Burlöv,Åkarp
Skåne län,Vellinge,Arrie
Skåne län,Vellinge,Gessie Villastad
Skåne län,Vellinge,Hököpinge
Skåne län,Vellinge,Skanör med Falsterbo
Skåne län,Vellinge,Vellinge
Skåne län,Vellinge,Västra Ingelstad
Skåne län,Vellinge,Östra Grevie
Skåne län,Östra Göinge,Broby
Skåne län,Östra Göinge,Glimåkra
Skåne län,Östra Göinge,Hanaskog
Skåne län,Östra Göinge,Hjärsås
Skåne län,Östra Göinge,Immeln
Skåne län,Östra Göinge,Knislinge
Skåne län,Östra Göinge,Sibbhult
Skåne län,Örkelljunga,Eket
Skåne län,Örkelljunga,Skånes-Fagerhult
Skåne län,Örkelljunga,Åsljunga
Skåne län,Örkelljunga,Örkelljunga
Skåne län,Bjuv,Bjuv
Skåne län,Bjuv,Ekeby
Skåne län,Bjuv,Gunnarstorp
Skåne län,Kävlinge,Barsebäck
Skåne län,Kävlinge,Barsebäckshamn
Skåne län,Kävlinge,Dösjebro
Skåne län,Kävlinge,Furulund
